"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat"
2.73,1.32,1.05,0.28,1.13,1.64,1.34,1.44,1.26,2.35,2.82,0.01,-0.17,0.52,-0.33,-0.04
1.32,2.32,0.81,0.1,1.14,0.99,1.97,2.35,1.81,1.04,1.26,0.12,-0.08,0.53,-0.21,0.29
1.05,0.81,1.08,0.05,0.97,0.95,0.84,0.84,0.7,0.54,0.45,0.03,-0.15,0.52,-0.2,-0.01
0.28,0.1,0.05,26.41,0.2,-0.15,-0.01,0.15,0.25,0.26,0.59,-0.06,-0.21,-0.2,-0.28,0.57
1.13,1.14,0.97,0.2,40.08,1.45,0.69,1.64,2.01,0.26,0.35,0.29,-0.35,0.93,-0.88,0.46
1.64,0.99,0.95,-0.15,1.45,5.51,0.95,1.05,1.21,0.52,0.36,0.34,-0.3,3.02,-1.02,0.17
1.34,1.97,0.84,-0.01,0.69,0.95,3.49,1.93,1.16,1.24,1.5,-0.01,-0.1,0.07,-0.1,0.14
1.44,2.35,0.84,0.15,1.64,1.05,1.93,4.08,1.97,1.07,1.35,0.21,-0.06,0.55,-0.25,0.5
1.26,1.81,0.7,0.25,2.01,1.21,1.16,1.97,9.17,1,1.12,0.11,-0.05,0.23,-0.41,0.14
2.35,1.04,0.54,0.26,0.26,0.52,1.24,1.07,1,4.04,5.38,-0.24,0.05,-0.73,0.35,-0.16
2.82,1.26,0.45,0.59,0.35,0.36,1.5,1.35,1.12,5.38,10.15,-0.42,0.08,-2,0.69,0.06
0.01,0.12,0.03,-0.06,0.29,0.34,-0.01,0.21,0.11,-0.24,-0.42,0.89,0.1,3.14,-0.86,0.37
-0.17,-0.08,-0.15,-0.21,-0.35,-0.3,-0.1,-0.06,-0.05,0.05,0.08,0.1,0.39,-0.26,0.52,0.09
0.52,0.53,0.52,-0.2,0.93,3.02,0.07,0.55,0.23,-0.73,-2,3.14,-0.26,48.86,-5.19,0.88
-0.33,-0.21,-0.2,-0.28,-0.88,-1.02,-0.1,-0.25,-0.41,0.35,0.69,-0.86,0.52,-5.19,3.6,-0.4
-0.04,0.29,-0.01,0.57,0.46,0.17,0.14,0.5,0.14,-0.16,0.06,0.37,0.09,0.88,-0.4,2.92
