"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
5.71,2.22,2.35,0.13,2.42,3.72,2.42,2.12,2.29,5.13,6.11,-0.79,0.04,0.78,-0.11,-1.08,3.16,3.82,2.3,1.9,2.58
2.22,4.2,1.85,0.71,2.24,1.64,4.06,4.19,3.45,1.73,1.89,-0.09,-0.13,0.03,0.23,0.65,1.86,2.58,0.21,1.56,1.7
2.35,1.85,2.68,0.62,2.1,2.38,1.96,1.86,1.73,1.43,1.19,-0.82,-0.06,0.34,0.49,-0.1,2.46,2.66,0.33,1.2,2.34
0.13,0.71,0.62,47.03,-0.42,0.44,0.78,0.95,0.29,0.06,0.59,0.26,-1.37,0.76,-0.76,2.27,0.04,1.16,-1.13,-0.87,1.32
2.42,2.24,2.1,-0.42,61.3,2.46,1.88,2.76,2.33,0.93,0.77,0.22,-0.99,2.16,-0.97,0.54,1.97,3.98,0.74,-2.03,2.47
3.72,1.64,2.38,0.44,2.46,10.82,1.39,1.63,2.26,1.07,0.5,0.28,-0.59,6.33,-2.18,-1.52,2.34,5.18,-0.32,3.79,2.34
2.42,4.06,1.96,0.78,1.88,1.39,6.01,3.83,2.38,2.29,2.52,-0.59,-0.07,-0.96,0.78,0.64,2.53,2.67,0.32,1.15,1.96
2.12,4.19,1.86,0.95,2.76,1.63,3.83,5.93,3.71,1.55,1.69,0.2,-0.38,0.68,-0.06,1.02,1.52,2.74,0.13,1.73,1.58
2.29,3.45,1.73,0.29,2.33,2.26,2.38,3.71,12.06,1.54,1.72,-0.01,0.15,0.36,-0.31,-0.12,1.33,2.2,0.57,2.3,1.59
5.13,1.73,1.43,0.06,0.93,1.07,2.29,1.55,1.54,9.32,12.45,-1.06,0.83,-3.71,1.67,-0.35,2.9,1.58,5.1,0.16,1.52
6.11,1.89,1.19,0.59,0.77,0.5,2.52,1.69,1.72,12.45,22.44,-1.01,0.68,-5.72,2.07,0.39,2.38,0.98,7.73,0.3,1.01
-0.79,-0.09,-0.82,0.26,0.22,0.28,-0.59,0.2,-0.01,-1.06,-1.01,4.37,-0.59,5.31,-2.82,1.94,-2.04,-0.56,-0.17,0.64,-0.81
0.04,-0.13,-0.06,-1.37,-0.99,-0.59,-0.07,-0.38,0.15,0.83,0.68,-0.59,2.31,-4.51,2.42,-1.47,0.44,-0.51,0.71,-0.89,-0.04
0.78,0.03,0.34,0.76,2.16,6.33,-0.96,0.68,0.36,-3.71,-5.72,5.31,-4.51,87.05,-16.28,-4.73,-0.31,3.05,-4.39,4.04,-0.02
-0.11,0.23,0.49,-0.76,-0.97,-2.18,0.78,-0.06,-0.31,1.67,2.07,-2.82,2.42,-16.28,11.67,1.73,0.76,-0.94,1.49,-0.99,1.21
-1.08,0.65,-0.1,2.27,0.54,-1.52,0.64,1.02,-0.12,-0.35,0.39,1.94,-1.47,-4.73,1.73,10.59,-1.84,-1.15,0.35,-0.5,0.09
3.16,1.86,2.46,0.04,1.97,2.34,2.53,1.52,1.33,2.9,2.38,-2.04,0.44,-0.31,0.76,-1.84,5,2.54,0.66,0.49,2.45
3.82,2.58,2.66,1.16,3.98,5.18,2.67,2.74,2.2,1.58,0.98,-0.56,-0.51,3.05,-0.94,-1.15,2.54,16.81,-0.26,4.02,3.12
2.3,0.21,0.33,-1.13,0.74,-0.32,0.32,0.13,0.57,5.1,7.73,-0.17,0.71,-4.39,1.49,0.35,0.66,-0.26,16.82,-0.52,0.49
1.9,1.56,1.2,-0.87,-2.03,3.79,1.15,1.73,2.3,0.16,0.3,0.64,-0.89,4.04,-0.99,-0.5,0.49,4.02,-0.52,139.59,2.97
2.58,1.7,2.34,1.32,2.47,2.34,1.96,1.58,1.59,1.52,1.01,-0.81,-0.04,-0.02,1.21,0.09,2.45,3.12,0.49,2.97,18.6
