"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"Intercept",-4.97406839457809,-4.83841919346106,-3.80759476911426,3.35169912264058,-0.463845256112428,-1.70710892515052,-5.15363349396772,-2.50361510453499,-5.31702212419069,-5.8520167142874,-8.21233753436547,2.67881428434985,0.382204778974285,6.86725420863299,7.83136277586593,0.860640916608503,-6.32385634936752,-6.15813517679487,-0.514798105539446,0.624445491108289,-1.42586266301896
"gender2",-0.0227538885373793,-0.0513506941726856,-0.0757103943650596,0.187343955624776,-0.480564631411068,-0.0659179882880999,-0.0359773252370084,-0.121438956704562,-0.0439300701183972,0.00711195350099444,0.0437841076460885,0.0787301792301441,0.0225218163609991,-0.38670607448143,-0.221287281737275,-0.0326928382218507,-0.0613630067964515,0.0523916637320604,0.0244356003883178,0.0345453072271207,-0.167678529490603
"age1",0.018094657755715,0.0149551242236532,0.0156652407922559,-0.00489134760780902,0.0455513129645234,0.0131231006137872,0.0142094709858691,0.0134509305342042,0.00884615784854919,0.0054641263011682,-0.00221944236103944,-0.00617583248895306,0.00395809051824658,0.0392291989272435,0.034521801448609,-0.000592089587139853,0.0130991741453969,0.0327219489272661,-0.0092544170896812,0.0270982473697991,0.0331718121074684
"age2",-0.000179594442752583,-0.000196418649102197,-0.000197883150617975,-4.0351531457409e-05,-0.000539012408516249,-9.9986854173216e-05,-0.000189796045911281,-0.000176962083182655,-0.00011595899781062,2.51115620168021e-05,4.98934285534985e-05,0.00011898527012681,-5.23750343049448e-06,-3.43341311499693e-05,-0.000150997116666387,-1.05297920014168e-05,-0.000136379711285452,-0.000272525620962052,-0.000118038367608256,-0.000248239922422496,-0.000435499769317585
"ethnicity2",-0.478883305485442,0.0437511593962465,-0.0280015458390364,-0.863111036816735,-0.643883600070455,0.118728296798539,0.15083299974973,0.183508096980744,0.11925281131155,-0.261554212389728,-0.296205856508371,-0.0575599780751129,-0.0907773994710422,0.0255526162891984,0.462558053873692,0.665114355438171,-0.16135348173387,-0.59429212906536,-1.31035775419703,1.00881772415244,-0.127086755252871
"ethnicity3",-0.0808419236525571,0.382411022278821,0.435823009021112,0.14358173389938,-0.197496541976856,1.20410142803816,0.445718582934573,0.515608690734471,-0.0556895204360395,0.0121322587292219,-0.00927664413845521,0.462476120115037,0.150194797617139,1.29136458966086,0.683503646793527,0.491911459062315,-0.158405314321248,-0.69834010282695,0.0598202889872412,0.902882025892144,0.997779743232198
"ethnicity4",-0.265026154861546,0.435975304748746,-0.340093431643435,3.09249231082706,0.858806875902335,0.372933022272738,0.432210066930346,-0.0194971413280821,0.434922598999274,-0.119731538520886,-0.348775696874386,0.394231372822576,0.0245708264353195,-0.761949446382112,0.58812771709985,0.543697366740034,-0.437361314850118,0.130309829761151,-0.397221525693183,1.83304040957026,-0.616412636977835
"income",0.00297350848967988,0.00228795093733111,0.00230628979916495,-0.00442994212099191,0.00166635806931875,0.00239835215596282,0.0023513449372321,0.00327105980852459,0.00195233696326198,0.00363066737935365,0.00357580597054899,-0.00283784635183426,0.00239169153926067,-0.00266280697504041,-0.00722703702759394,-0.00245566439124078,0.00419580785987656,0.00291504958663358,0.00261774770374768,0.000412394653111939,0.00160725067949716
"region2",-0.118967098299797,-0.00798321043617074,-0.0233276400497743,0.192435167305423,-0.473290067468556,-0.347125367056269,-0.288171287771644,-0.0974392815280789,0.00657873421369217,-0.108570826214366,0.129877122947691,-0.282483892145969,-0.297859328791976,0.244903453634721,-0.0419906261163985,0.0476070342520106,0.0960421473892443,-0.0600634335167395,-0.319100025248676,-0.81249793821358,-0.299778392264237
"region3",-0.144854094658778,-0.230175441368746,-0.154097590287355,0.65845603955674,0.032393785821614,-0.309992760327009,-0.240274823173358,-0.536366510077421,-0.154692159599501,-0.301897296183012,-0.669923385046194,-0.0551712014139314,-0.288509696965948,-0.246668609122621,-0.050308630779672,-0.262493006764357,-0.128447124651514,-0.139729821150193,-0.80670727424137,-1.78583972950677,-0.190450088029869
"region4",-0.0560653195651271,-0.0392567571110487,-0.0127911281574441,-0.19908905620665,-0.345411859738519,-0.385334740463003,-0.0744581148659454,0.0591019731370393,-0.0981568322440687,-0.329059164274513,-0.492615732729084,0.0217944014700226,-0.319234548293715,-0.881376404467166,-0.457065198590212,-0.311664834233842,-0.159823168534914,-0.309188511941558,-0.2182019202917,-1.32038124927035,-0.399158174830488
"EnergyIntake",-0.0972909943754902,-0.0979160259816487,-0.157180662319755,-0.00856720674883109,-0.572130935690785,-0.228156898981028,-0.0448242680906702,-0.371322452673168,-0.0485724005317307,-0.104484570191155,0.0492722832072759,0.104274033257803,0.205313671125956,-1.35208622166285,-1.30986792717328,-0.222310610239906,-0.0392087413569988,0.0266717815904218,0.419009953086022,-0.459632482095455,-0.422904240994296
"min",-9.65309200603318,-11.1111111111111,-7.93650793650794,-100,-50,-16.6666666666667,-20,-25,-11.1111111111111,-12,-33.3333333333333,-3.25032587509176,-5.07031831227778,-72.2696476215686,-25.4493112429063,-4.94979223739107,-12.4463519313305,-20,-25,-100,-25
"max",3.24675324675325,2.66666666666667,3.125,100,0,9.09090909090909,5.88235294117647,12.5,0,3.79746835443038,14.2857142857143,5.69421462399937,5.27521254715516,4.23804850617565,0,2.0926160211621,3.41113105924596,8.33333333333333,20.8333333333333,0,12.5
