"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat"
"Intercept",-6.44833633746423,-7.18417053114697,-1.93397899907145,2.03408095833711,2.17659295565736,-1.07314298947773,-8.02470727743848,-5.36047963634353,-5.55216664974733,-7.68192739879234,-12.0320963400082,-0.493535112601801,-0.740561964364324,5.64681055840869,-1.73257765325569,2.51078498985028
"gender2",0.0548576128971732,0.0971057276348322,0.0132532424570673,0.061534992290685,-0.15347560552592,-0.0186808831934588,0.116122540920306,0.0883783112573984,0.0865533585066681,0.0186498320337703,0.0333016236907779,-0.0413669205122577,-0.0183752767189419,-0.31677029016268,-0.0264635514231598,0.0618621278772203
"age1",-0.00294967255309,0.00573072867807526,0.000134383739274496,0.0205047526739325,0.0265759291957352,-0.00306725537531251,0.0103508083329954,0.00347796128317896,0.00145515550781643,-0.00785451326632927,-0.0187115504026587,0.00658066657445193,0.00496017715370337,0.0328363446301464,0.000538397873377414,-0.00689563860110556
"age2",9.90462631797822e-05,-3.79974370806159e-05,1.80083873776987e-05,-0.000310398197826505,-0.000267379767919762,7.77392632350716e-05,-1.54188405489066e-05,-3.99323468308559e-05,-8.1251907799434e-06,0.000184788438189928,0.000286432609101809,-5.96374136017223e-05,-6.79628859329858e-05,-0.000150490641400931,-0.00010609439200376,4.27424120626912e-05
"ethnicity2",-0.0446058977275529,-0.467318764156488,-0.290926547057271,-0.136336758318986,-2.31268878618213,-0.023153847716047,-0.626889035222354,-0.56135239605613,-0.474033291427229,-0.0368372677377606,-0.333044748778258,-0.19802853203034,-0.0683303040444491,-0.463823195436408,0.125424779114682,-0.725685139678936
"ethnicity3",0.26496546672283,0.0916972606389417,-6.87710913021267e-05,-0.157552952843858,-1.14871258404773,0.308191720506682,0.0669348624861276,0.276301997474832,0.0705268245565933,0.561875756954612,0.319072659021673,0.123678823932514,-0.0531690934097126,1.98644185130896,0.0866368634365218,-0.297156075969068
"ethnicity4",0.241502064821285,0.2598904608668,-0.129245911790148,0.230354832282249,0.584702122292724,0.227012929772943,0.22462755188355,-0.134441098089953,0.438567251150046,0.259161539162756,0.258077093377303,0.0487563705586709,-0.132100568402951,-0.107074257664172,-0.494964990021746,-0.422484046174005
"income",0.00224057004714355,0.0020315440443715,0.000829756296426393,-0.00295639916939964,0.00176279575714698,0.00176587805380542,0.0021052543308383,0.00292334823783327,0.00158358047428122,0.00229462241458144,0.00206608255345829,0.00123485074670168,0.0016334592226265,0.00410501019232234,0.000811757126736678,-0.00385377329485845
"region2",-0.101408359176491,-0.216866896159701,-0.0574621358493413,0.634503586175528,-0.430666815543032,-0.449567264064055,-0.465494640365031,-0.29524623505618,-0.0715221174712862,-0.155120788539818,-0.0267595221677632,0.00879378721767358,0.0592002264506668,0.256020146808969,-0.0796107877592344,-0.00155236212128977
"region3",-0.233260092468113,-0.223910681625034,0.0766174326967036,-0.461443541652674,-0.447430166398974,-0.15799397917443,-0.212509515161532,-0.470981219039804,-0.327735283899018,-0.457515428667563,-1.07517865382576,0.124841290982154,0.0749170556179714,0.476488671273064,-0.138477928594802,-0.121824901588223
"region4",-0.273519396719879,-0.260874755751534,-0.101468054363781,0.133290097443074,-0.299717664767113,-0.205578452979592,-0.410508431864707,-0.155999666203484,-0.314502589183451,-0.506273207287768,-0.964012606652905,0.0627997720001305,-0.0169322831697455,-0.0963496454788641,-0.149527148645628,-0.0443539865181457
"EnergyIntake",0.282580259157636,0.415094358496657,0.0906636803538014,-0.055081788574761,-0.555873463429881,-0.0660985741785606,0.426009410397948,0.286010575226817,0.200738551496958,0.178878140346876,0.50472980953809,-0.165923537225964,-0.0184007228674279,-1.66839664682563,0.281113097317291,0.145399096431357
"min",-12.9032258064516,-14.2857142857143,-8.10810810810811,-100,-50,-25,-16.6666666666667,-33.3333333333333,-13.3333333333333,-13.3333333333333,-28.5714285714286,-6.2680334,-3.519373,-68.124837,-7.1949758,-10.854289
"max",14.2857142857143,8.57142857142857,6.06060606060606,100,100,20,16.6666666666667,20,12.5,5.45454545454545,25,0.41748555,6.3476481,0.41374136,10.460381,8.4562533
